date,retweets,favorites,text,permalink
08/17/18,4,4,Southbound N trains are running with delays because of a train mechanical problems at Queensboro Plaza.,https://twitter.com/NYCTSubway/status/1030305721747955712
08/16/18,0,0,"Hello Steve. There is a train that was removed from customer service at 9 Av because on mechanical problems, we apologize for the inconvenience.^EE",https://twitter.com/NYCTSubway/status/1030183561872244736
08/16/18,0,0,Good afternoon. There is a train with mechanical problems at Canal St causing delays on downtown A and C train service. Sorry for the inconvenience.^EE,https://twitter.com/NYCTSubway/status/1030170297708752896
08/16/18,0,0,"Hi, Kelly. Yes, we have posted mechanical problem"" in the past and changed it to brakes activated to stay more transparent. ^JP""",https://twitter.com/NYCTSubway/status/1030097312519991297
08/16/18,0,0,"Good morning. When a train's brakes are automatically activated, we must investigate why. It could be a mechanical problem, or an obstruction on the track or because someone has pulled the emergency brake cord from inside the train. ^JG",https://twitter.com/NYCTSubway/status/1029954393347710976
08/15/18,0,1,"Thank you. There was a train experiencing a mechanical problem at West 4 St affecting A, C and E train service in both directions. We apologize for the inaudible announcements at Nostrand Av. ^JG",https://twitter.com/NYCTSubway/status/1029919542464729088
08/15/18,0,0,Good Afternoon. There was a train with mechanical problems at Chambers St. The train went into emergency after being tripped by a signal. We do apologize for the inconvenience. ^JZ,https://twitter.com/NYCTSubway/status/1029836417944436736
08/15/18,0,0,"Hi. Some factors that can cause this is- debris on the tracks, a faulty signal or someone pulling the emergency brake cord in the train car. We had posted these issues as mechanical problems"" in the past and are now using this language.^JP""",https://twitter.com/NYCTSubway/status/1029777561189011457
08/15/18,1,4,"Aaaaaand this N train is stuck in a tunnel between Manhattan Bridge and Canal St. with mechanical problems, now 5 minutes idle. Thanks @ NYGovCuomo @ NYCMayor @ NYCTSubway! # CuomosMTA # unsuckthesubway",https://twitter.com/christophehille/status/1029728904926449664
08/15/18,0,0,"There is a train with mechanical problems on the uptown N/Q/R/W at 34th, and as usual @ NYCTSubway is not on it.",https://twitter.com/ohhleary/status/1029718574531850240
08/15/18,4,2,Southbound 5 trains are running with delays while we remove a train from service with mechanical problems at Allerton Av.,https://twitter.com/NYCTSubway/status/1029704002269839360
